site,year,month,day,temp_1m_C
Buckhorn,2008,11,1,11.88176324
Buckhorn,2008,11,2,9.936613001
Buckhorn,2008,11,3,8.369007065
Buckhorn,2008,11,4,5.696378104
Buckhorn,2008,11,5,5.511338834
Buckhorn,2008,11,6,10.19113462
Buckhorn,2008,11,7,13.21927923
Buckhorn,2008,11,8,11.28578362
Buckhorn,2008,11,9,9.094172108
Buckhorn,2008,11,10,8.448042686
Buckhorn,2008,11,11,9.176817649
Buckhorn,2008,11,12,11.68012759
Buckhorn,2008,11,13,7.472243784
Buckhorn,2008,11,14,7.11502445
Buckhorn,2008,11,15,10.01478169
Buckhorn,2008,11,16,9.455731774
Buckhorn,2008,11,17,10.51099971
Buckhorn,2008,11,18,8.830331944
Buckhorn,2008,11,19,6.611491457
Buckhorn,2008,11,20,6.910528623
Buckhorn,2008,11,21,5.685797526
Buckhorn,2008,11,22,4.624157432
Buckhorn,2008,11,23,3.573827555
Buckhorn,2008,11,24,5.425130759
Buckhorn,2008,11,25,4.066023957
Buckhorn,2008,11,26,4.101884888
Buckhorn,2008,11,27,4.640785203
Buckhorn,2008,11,28,7.045282184
Buckhorn,2008,11,29,9.979862636
Buckhorn,2008,11,30,11.21158961
Buckhorn,2008,12,1,9.17103257
Buckhorn,2008,12,2,8.905988546
Buckhorn,2008,12,3,6.432145496
Buckhorn,2008,12,4,4.054170903
Buckhorn,2008,12,5,3.768588853
Buckhorn,2008,12,6,6.681870319
Buckhorn,2008,12,7,6.230948695
Buckhorn,2008,12,8,5.131090454
Buckhorn,2008,12,9,4.910776731
Buckhorn,2008,12,10,6.78443843
Buckhorn,2008,12,11,5.331714848
Buckhorn,2008,12,12,3.010827246
Buckhorn,2008,12,13,0.899639461
Buckhorn,2008,12,14,-2.589840254
Buckhorn,2008,12,15,-5.713377421
Buckhorn,2008,12,16,-4.798367998
Buckhorn,2008,12,17,-2.644082068
Buckhorn,2008,12,18,-2.094239841
Buckhorn,2008,12,19,-5.614440969
Buckhorn,2008,12,20,-6.086330826
Buckhorn,2008,12,21,-3.063017033
Buckhorn,2008,12,22,-1.718539957
Buckhorn,2008,12,23,-2.0830808
Buckhorn,2008,12,24,-0.569912367
Buckhorn,2008,12,25,-0.184231587
Buckhorn,2008,12,26,-0.075641124
Buckhorn,2008,12,27,3.475548957
Buckhorn,2008,12,28,3.14915114
Buckhorn,2008,12,29,2.337795765
Buckhorn,2008,12,30,1.624439921
Buckhorn,2008,12,31,1.829326631
Buckhorn,2009,1,1,3.347618414
Buckhorn,2009,1,2,0.217629893
Buckhorn,2009,1,3,-0.241321704
Buckhorn,2009,1,4,-1.14752033
Buckhorn,2009,1,5,3.492868892
Buckhorn,2009,1,6,7.16650178
Buckhorn,2009,1,7,9.39451743
Buckhorn,2009,1,8,5.120200545
Buckhorn,2009,1,9,2.374202111
Buckhorn,2009,1,10,1.544885056
Buckhorn,2009,1,11,5.788941748
Buckhorn,2009,1,12,7.666290145
Buckhorn,2009,1,13,4.932114981
Buckhorn,2009,1,14,3.210427369
Buckhorn,2009,1,15,1.027213965
Buckhorn,2009,1,16,-0.573621456
Buckhorn,2009,1,17,-0.816895208
Buckhorn,2009,1,18,1.740849651
Buckhorn,2009,1,19,3.829632617
Buckhorn,2009,1,20,3.19506014
Buckhorn,2009,1,21,0.081369854
Buckhorn,2009,1,22,0.776370051
Buckhorn,2009,1,23,-0.428248024
Buckhorn,2009,1,24,0.311101921
Buckhorn,2009,1,25,-0.299955745
Buckhorn,2009,1,26,-1.860197064
Buckhorn,2009,1,27,-0.175499095
Buckhorn,2009,1,28,3.003488562
Buckhorn,2009,1,29,2.918151281
Buckhorn,2009,1,30,2.783743237
Buckhorn,2009,1,31,2.318153548
Buckhorn,2009,2,1,1.943950108
Buckhorn,2009,2,2,5.491381546
Buckhorn,2009,2,3,7.303399143
Buckhorn,2009,2,4,8.720593288
Buckhorn,2009,2,5,6.614667423
Buckhorn,2009,2,6,4.503492904
Buckhorn,2009,2,7,2.281524592
Buckhorn,2009,2,8,2.651646419
Buckhorn,2009,2,9,0.221457126
Buckhorn,2009,2,10,0.086963458
Buckhorn,2009,2,11,2.502393774
Buckhorn,2009,2,12,1.31196604
Buckhorn,2009,2,13,2.50980246
Buckhorn,2009,2,14,2.796256364
Buckhorn,2009,2,15,1.196080942
Buckhorn,2009,2,16,2.757129876
Buckhorn,2009,2,17,4.904904509
Buckhorn,2009,2,18,5.943810829
Buckhorn,2009,2,19,5.094051861
Buckhorn,2009,2,20,6.107299767
Buckhorn,2009,2,21,6.97277068
Buckhorn,2009,2,22,8.863236328
Buckhorn,2009,2,23,6.830264584
Buckhorn,2009,2,24,6.453534905
Buckhorn,2009,2,25,3.371168692
Buckhorn,2009,2,26,0.336166539
Buckhorn,2009,2,27,2.305002621
Buckhorn,2009,2,28,4.519048159
Buckhorn,2009,3,1,6.991659938
Buckhorn,2009,3,2,7.698033728
Buckhorn,2009,3,3,6.186446999
Buckhorn,2009,3,4,4.884490972
Buckhorn,2009,3,5,3.542696725
Buckhorn,2009,3,6,2.593958598
Buckhorn,2009,3,7,1.917069
Buckhorn,2009,3,8,0.755330976
Buckhorn,2009,3,9,0.236548511
Buckhorn,2009,3,10,-0.104309585
Buckhorn,2009,3,11,1.275261119
Buckhorn,2009,3,12,3.414015183
Buckhorn,2009,3,13,6.091709379
Buckhorn,2009,3,14,3.824051561
Buckhorn,2009,3,15,2.386237809
Buckhorn,2009,3,16,2.805830325
Buckhorn,2009,3,17,3.670694423
Buckhorn,2009,3,18,6.402189177
Buckhorn,2009,3,19,7.292853949
Buckhorn,2009,3,20,7.415625608
Buckhorn,2009,3,21,3.975459264
Buckhorn,2009,3,22,4.138353253
Buckhorn,2009,3,23,2.316575083
Buckhorn,2009,3,24,5.421315253
Buckhorn,2009,3,25,4.646351888
Buckhorn,2009,3,26,5.229763505
Buckhorn,2009,3,27,5.806012247
Buckhorn,2009,3,28,2.444184079
Buckhorn,2009,3,29,4.98319628
Buckhorn,2009,3,30,4.072223576
Buckhorn,2009,3,31,4.809278716
Buckhorn,2009,4,1,2.923489312
Buckhorn,2009,4,2,5.391915441
Buckhorn,2009,4,3,4.467276675
Buckhorn,2009,4,4,6.61258942
Buckhorn,2009,4,5,12.66523701
Buckhorn,2009,4,6,13.83404619
Buckhorn,2009,4,7,12.76605353
Buckhorn,2009,4,8,8.451081119
Buckhorn,2009,4,9,7.465212204
Buckhorn,2009,4,10,6.995073676
Buckhorn,2009,4,11,7.540094694
Buckhorn,2009,4,12,7.974064262
Buckhorn,2009,4,13,3.756054443
Buckhorn,2009,4,14,4.211699377
Buckhorn,2009,4,15,6.106377455
Buckhorn,2009,4,16,8.071349709
Buckhorn,2009,4,17,9.225524937
Buckhorn,2009,4,18,8.037426067
Buckhorn,2009,4,19,13.58123481
Buckhorn,2009,4,20,15.3445025
Buckhorn,2009,4,21,15.7677686
Buckhorn,2009,4,22,7.519706849
Buckhorn,2009,4,23,5.941198822
Buckhorn,2009,4,24,7.866018626
Buckhorn,2009,4,25,6.719600128
Buckhorn,2009,4,26,7.674903789
Buckhorn,2009,4,27,8.047670099
Buckhorn,2009,4,28,6.984607229
Buckhorn,2009,4,29,7.384738517
Buckhorn,2009,4,30,10.03022586
Buckhorn,2009,5,1,14.64924256
Buckhorn,2009,5,2,11.37889024
Buckhorn,2009,5,3,10.17903012
Buckhorn,2009,5,4,9.250405732
Buckhorn,2009,5,5,9.259392072
Buckhorn,2009,5,6,9.188521609
Buckhorn,2009,5,7,7.661723759
Buckhorn,2009,5,8,8.777624873
Buckhorn,2009,5,9,10.9152656
Buckhorn,2009,5,10,12.16178427
Buckhorn,2009,5,11,9.894454944
Buckhorn,2009,5,12,6.649357483
Buckhorn,2009,5,13,6.088484966
Buckhorn,2009,5,14,10.27934775
Buckhorn,2009,5,15,11.20900894
Buckhorn,2009,5,16,16.80940825
Buckhorn,2009,5,17,17.15629276
Buckhorn,2009,5,18,11.99027808
Buckhorn,2009,5,19,8.469857772
Buckhorn,2009,5,20,10.31860053
Buckhorn,2009,5,21,12.14266177
Buckhorn,2009,5,22,13.84492218
Buckhorn,2009,5,23,12.37342977
Buckhorn,2009,5,24,12.36904197
Buckhorn,2009,5,25,13.12521904
Buckhorn,2009,5,26,12.55279655
Buckhorn,2009,5,27,13.19373736
Buckhorn,2009,5,28,17.38910886
Buckhorn,2009,5,29,20.31665418
Buckhorn,2009,5,30,17.9519351
Buckhorn,2009,5,31,19.83610528
Buckhorn,2009,6,1,18.9352576
Buckhorn,2009,6,2,18.64005362
Buckhorn,2009,6,3,22.50447921
Buckhorn,2009,6,4,22.14125638
Buckhorn,2009,6,5,15.30676422
Buckhorn,2009,6,6,13.90503871
Buckhorn,2009,6,7,13.27210832
Buckhorn,2009,6,8,15.58693991
Buckhorn,2009,6,9,16.9103364
Buckhorn,2009,6,10,16.26050345
Buckhorn,2009,6,11,14.61926805
